,0
Austria,0.5204502781326966
Belarus,0.4807980247711104
Belgium,0.7672014784560858
Brunei Darussalam,0.47287486433761977
Canada,-0.3204345182399326
Chile,0.17171008399431956
Costa Rica,0.058347494960091055
Cyprus,0.5022115084457397
Estonia,0.24679738307305862
Finland,0.4722099525345943
France,0.12764639963990707
Georgia,0.2730401777490353
Germany,0.22289948780153068
Hungary,0.054135560779644654
Iceland,0.32598676491966266
Ireland,-0.1601881884180614
Israel,0.06849382206088442
Italy,0.5062345365862082
Japan,-0.3074887424103337
"Korea, Rep.",0.5296350386863086
Latvia,0.5708366938242546
Lithuania,0.5893150874843209
Luxembourg,0.12139764889621942
Malta,-0.2172403793585618
Mauritius,0.5982993858952819
Netherlands,0.008761078762652932
New Zealand,-0.11214169406191407
Portugal,0.48607696603126815
Romania,0.5596363018653895
Russian Federation,0.19721023318297184
Serbia,0.42941898589146393
Slovak Republic,0.47573010881011324
Slovenia,0.611252332153615
Spain,0.63193181299574
Switzerland,0.6482661808833899
Thailand,0.3049430967902111
Turkiye,0.2715468957583191
United Kingdom,-0.055329034667068476
United States,0.19361145290164547
Uruguay,0.5151731048516529
